coffee_name,total_score,roaster_location,coffee_origin,roast_level,agtron,est._price,country,prices_raw,ounces_raw,price,ounces,price_per_ounces,agtron_whole,agtron_ground,Price Vs Score
Wilton Benitez Pink Bourbon Colombia,98,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Medium-Light,62/78,$20.00/8 ounces,Colombia,$20.00 ,8 ounces,20,8,2.5,62,78,-0.238%
Elida Estate Geisha Green-Tip Natural,98,"Boulder, Colorado","Boquete growing region, western Panama",Medium-Light,54/78,$100.00/21 grams,western Panama,$100.00 ,21 grams,100,0.740753805,134.997619,54,78,
GW03 Princesa Carmen Geisha,98,"Yilan, Taiwan","Paso Ancho, Panama",Medium-Light,58/74,"NT$ 2,500/20 grams",Panama,"NT$ 2,500",20 grams,2500,0.705479814,3543.6875,58,74,
Finca Sophia Gesha Washed,98,"San Rafael, California","Nueva Suiza, Chiriquí, Panama",Medium-Light,58/76,$50.00/4 ounces,Panama,$50.00 ,4 ounces,50,4,12.5,58,76,
Kahiko Orange,98,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,54/84,$99.95/8 ounces,“Big Island” of Hawai’i,$99.95 ,8 ounces,99.95,8,12.49375,54,84,
GW01 Finca Sophia Olympus Geisha,98,"Yilan, Taiwan","Nueva Suiza, Chiriquí, Panama",Medium-Light,58/76,"NT $5,000/20 grams",Panama,"NT $5,000",20 grams,5000,0.705479814,7087.375,58,76,
Yemen Haraaz Red Mahal Aqeeq ul Station Natural,97,"Topeka, Kansas","Sharqi, Haraaz, Yemen",Medium-Light,58/76,$35.00/8 ounces,Yemen,$35.00 ,8 ounces,35,8,4.375,58,76,
Roastmaster’s Reserve Esmeralda,97,"Minneapolis, Minnesota","Boquete growing region, western Panama",Medium,52/66,$19.99/8 ounces,western Panama,$19.99 ,8 ounces,19.99,8,2.49875,52,66,
Panama Geisha Vuelta DRD Natural Lot GN-01,97,"Hilo, Hawai’i Island, Hawai’i","Boquete growing region, western Panama",Light,64/88,$400.00/20 grams,western Panama,$400.00 ,20 grams,400,0.705479814,566.99,64,88,
Washed Geisha Hacienda La Esmeralda Jaramillo Special,97,"Boulder, Colorado","Boquete growing region, Panama",Medium-Light,56/76,$125.00/4 ounces; limited availability,Panama,$125.00 ,4 ounces; limited availability,125,4,31.25,56,76,
Perci Red Panama Gesha,97,"Lee, Massachusetts","Silla Del Pando, Volcan, Panama.",Medium,52/67,$75.95/16 ounces,Panama.,$75.95 ,16 ounces,75.95,16,4.746875,52,67,
Laura’s Reserve SL34,97,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Light,62/80,$69.95/8 ounces,“Big Island” of Hawai’i,$69.95 ,8 ounces,69.95,8,8.74375,62,80,
Finca La Mula Panama Geisha,97,"Madison, Wisconsin","Chiriqui, western Panama.",Medium,52/66,$59.95/8 ounces,western Panama.,$59.95 ,8 ounces,59.95,8,7.49375,52,66,
Ninety Plus Gesha Estates Limited Batch #227,97,"Madison, Wisconsin","Chiriqui Province, far western Panama",Light,67/97,$68.50/4 ounces,far western Panama,$68.50 ,4 ounces,68.5,4,17.125,67,97,
100% Kona SL-28,97,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium-Light,56/78,$74.95/8 ounces,“Big Island” of Hawaii,$74.95 ,8 ounces,74.95,8,9.36875,56,78,
Testi Ayla Double Ethiopia,97,"Lee, Massachusetts","Sidama Zone, Oromia Region, Ethiopia",Light,64/86,$54.95/12 ounces,Ethiopia,$54.95 ,12 ounces,54.95,12,4.579166667,64,86,
Kenya Guama Peaberry,97,"San Diego, California",South-central Kenya,Medium-Light,56/78,$23.99/12 ounces,South-central Kenya,$23.99 ,12 ounces,23.99,12,1.999166667,56,78,
Kona Pointu®,97,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,52/72,$69.95/8 ounces,“Big Island” of Hawai’i,$69.95 ,8 ounces,69.95,8,8.74375,52,72,
Kenya Karindundu AA Small Lot Reserve,97,"Boulder, Colorado","Nyeri growing region, south-central Kenya",Medium-Light,54/78,$18.00/12 ounces,south-central Kenya,$18.00 ,12 ounces,18,12,1.5,54,78,
El Vergel Guatemala,97,"Acton, Massachusetts","Patzun growing region, Guatemala.",Medium-Light,61/75,$16.50/12 ounces,Guatemala.,$16.50 ,12 ounces,16.5,12,1.375,61,75,
Guatemala Hunapu Antigua Bourbon,97,"Sacramento, California","Antigua valley, central Guatemala",Medium,48/58,$15.00/12 ounces,central Guatemala,$15.00 ,12 ounces,15,12,1.25,48,58,
Mama Cata Mokkita,97,"Minneapolis, Minnesota","Boquete growing region, western Panama",Medium-Light,57/79,$150.00/4 ounces,western Panama,$150.00 ,4 ounces,150,4,37.5,57,79,
Port of Mokha Yemen JSP,97,"Hong Kong, China","Al Hayma growing region, Al Kharijiyah District, Sana’a Governorate, Yemen",Medium,44/58,$60.00/100 grams,Yemen,$60.00 ,100 grams,60,3.527399072,17.0097,44,58,
Panama Elida Geisha Natural 1029,97,"Los Angeles, California","Boquete growing region, western Panama",Medium-Light,54/74,$100/18 grams,western Panama,$100 ,18 grams,100,0.634931833,157.4972222,54,74,
Panama Hacienda La Esmeralda Nano GIGANTE 4FC-N Geisha Washed,97,"Yilan, Taiwan","Cañas Verdes, Boquete, Panama",Light,62/84,NT $1200/20 grams,Panama,NT $1200,20 grams,1200,0.705479814,1700.97,62,84,
Kenya Washed Kiambu Yara Estate PB TOP,97,"Chia-Yi, Taiwan","Ruiru, Kiambu County, south-central Kenya",Medium-Light,58/80,NT $300/4 ounces,south-central Kenya,NT $300,4 ounces,300,4,75,58,80,
Panama Tierra Blanca C-5 Geisha Washed BOP-GW-05,97,"Taipei, Taiwan","Boquete growing region, western Panama",Light,64/88,$700/4 ounces,western Panama,$700 ,4 ounces,700,4,175,64,88,
Panama Geisha Vuelta DRD Natural,97,"Hilo, Hawai’i","Boquete growing region, western Panama",Light,66/88,$88.00/4 ounces,western Panama,$88.00 ,4 ounces,88,4,22,66,88,
Kenya AA TOP Gicherori,97,"Yilan, Taiwan","Embu County, Kenya",Medium-Light,60/78,NT $550/200 grams,Kenya,NT $550,200 grams,550,7.054798145,77.961125,60,78,
Panama Lamastus Family Elida Estate Loma Geisha Washed,97,"New Taipei City, Taiwan","Boquete growing region, western Panama",Light,64/88,"NT $1,695/4 ounces",western Panama,"NT $1,695",4 ounces,1695,4,423.75,64,88,
Panama Ninety Plus Perci Lot 50,97,"San Diego, California","Chiriqui Province, far western Panama",Medium-Light,50/74,$60.00/8 ounces,far western Panama,$60.00 ,8 ounces,60,8,7.5,50,74,
Colombia Finca El Paraiso Geisha Letty,97,"Minneapolis, Minnesota","Cauca, Colombia",Light,64/84,$40.00/4 ounces,Colombia,$40.00 ,4 ounces,40,4,10,64,84,
Panama La Esmeralda Geisha Bosque Natural,97,"Sacramento, California","Boquete growing region, western Panama",Medium-Light,59/82,$62.00/8 ounces,western Panama,$62.00 ,8 ounces,62,8,7.75,59,82,
Kenya Nyeri AB Gichatha-ini Signature Series,97,"Reno, Nevada","Nyeri, Kenya.",Medium,45/60,$22.00/16 ounces,Kenya.,$22.00 ,16 ounces,22,16,1.375,45,60,
Colombia Sebastian Ramirez Washed Pink Bourbon,97,"McHenry, Illinois","Quindio Department, Colombia",Light,62/84,$30.00/12 ounces,Colombia,$30.00 ,12 ounces,30,12,2.5,62,84,
Panama Elida Estate Geisha Natural ASD T3D Auction Lot EG6,97,"Taipei, Taiwan","Boquete growing region, western Panama",Light,66/84,$80.00/4 ounces,western Panama,$80.00 ,4 ounces,80,4,20,66,84,
Ethiopia Natural Guji D Minor Special Lot,97,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,60/76,NT $400/8 ounces,southern Ethiopia,NT $400,8 ounces,400,8,50,60,76,
Panama Ironman Camilina Geisha,97,"Los Angeles, California","Boquete growing region, western Panama.",Medium-Light,58/80,$49.95/8 ounces,western Panama.,$49.95 ,8 ounces,49.95,8,6.24375,58,80,
Yemen Port of Mokha Hayma Microlot,97,"Boulder, Colorado","Hayma, north-central Yemen",Medium,47/68,$85.00/8 ounces,north-central Yemen,$85.00 ,8 ounces,85,8,10.625,47,68,
Rukera Espresso,97,"Madison, Wisconsin","Kiambu growing region, south-central Kenya",Medium-Light,54/78,$21.20/12 ounces,south-central Kenya,$21.20 ,12 ounces,21.2,12,1.766666667,54,78,
Rukera Kenya,97,"Madison, Wisconsin","Kiambu growing region, south-central Kenya",Medium-Light,54/78,$21.20/12 ounces,south-central Kenya,$21.20 ,12 ounces,21.2,12,1.766666667,54,78,
Kaʻū Morning Glory,97,"Hilo, Hawai’i Island, Hawai’i","Kaʻū growing region, Hawai’i Island, Hawai’i",Light,62/84,$19.00/4 ounces,Hawai’i,$19.00 ,4 ounces,19,4,4.75,62,84,
Ardent Ethiopia Natural,97,"Madison, Wisconsin","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,57/77,$35.00/8 ounces,south-central Ethiopia,$35.00 ,8 ounces,35,8,4.375,57,77,
Ulos Batak Sumatra Peaberry,97,"Madison, Wisconsin","Northern Sumatra, Indonesia",Medium-Light,57/76,$18.60/12 ounces,Indonesia,$18.60 ,12 ounces,18.6,12,1.55,57,76,
Panama Los Lajones Bambu Geisha,96,"Sacramento, California","Boquete growing region, western Panama",Medium-Light,57/78,$60.00/8 ounces,western Panama,$60.00 ,8 ounces,60,8,7.5,57,78,
Indonesia Golden Sumatra TP Espresso,96,"Yilan, Taiwan","Aceh Province, Sumatra, Indonesia",Medium,44/62,NT $450/200 grams,Indonesia,NT $450,200 grams,450,7.054798145,63.786375,44,62,
Ethiopia Natural Sidama Bensa Blue Donkey 24/1,96,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Medium-Light,60/77,NT $350/8 ounces,southern Ethiopia,NT $350,8 ounces,350,8,43.75,60,77,
Ethiopia Washed Yirgacheffe “Mini-Me” 2014,96,"Taoyuan City, Taiwan","Yirgacheffe growing region, southern Ethiopia.",Medium,50/65,NT $1000/16 ounces,southern Ethiopia.,NT $1000,16 ounces,1000,16,62.5,50,65,
Colombia Cauca El Paraiso,96,"Osaka, Japan","Cauca, Colombia",Light,85/105,"¥ 1,580/100 grams",Colombia,"¥ 1,580",100 grams,1580,3.527399072,447.9221,85,105,
Ethiopia Aphrodite Washed Espresso,96,"Taoyuan, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium,44/60,NT $850/8 ounces,south-central Ethiopia,NT $850,8 ounces,850,8,106.25,44,60,
Hambela Ethiopia,96,"Lee, Massachusetts","Hambela Wamena District, Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,57/82,$17.45/12 ounces,southern Ethiopia,$17.45 ,12 ounces,17.45,12,1.454166667,57,82,
Kenya Makwa AB,96,"Los Angeles, California","Nyeri growing region, south-central Kenya.",Medium,54/67,$16.95/12 ounces,south-central Kenya.,$16.95 ,12 ounces,16.95,12,1.4125,54,67,
Ethiopia Natural Sidama TAMIRU 74158,96,"Chia-Yi, Taiwan","Sidama growing region, southern Ethiopia",Medium-Light,60/78,NT $400/4 ounces,southern Ethiopia,NT $400,4 ounces,400,4,100,60,78,
Gesha Spirits,96,"San Diego, California","Huila Department, Colombia",Light,64/88,$37.00/8 ounces,Colombia,$37.00 ,8 ounces,37,8,4.625,64,88,
Panama Esmeralda Geisha Natural,96,"Minneapolis, Minnesota","Boquete growing region, western Panama",Medium-Light,56/74,$19.95/4 ounces,western Panama,$19.95 ,4 ounces,19.95,4,4.9875,56,74,
Panama Abu Natural ASD Geisha BOP GN11,96,"Chia-Yi, Taiwan","Boquete growing region, western Panama",Medium-Light,58/76,NT $1200/4 ounces,western Panama,NT $1200,4 ounces,1200,4,300,58,76,
Panama Gesha Perci Red,96,"Lee, Massachusetts","Silla Del Pando, Volcan, Panama.",Light,66/88,$72.45/12 ounces,Panama.,$72.45 ,12 ounces,72.45,12,6.0375,66,88,
Colombia Wilton Benitez Gesha Thermal Shock Wine Yeast,96,"Jersey City, New Jersey","Piendamó, Cauca Department, Colombia",Light,68/92,$31.00/125 grams,Colombia,$31.00 ,125 grams,31,4.40924884,7.030676,68,92,
Colombia Sidra Natural Signature Selection,96,"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Light,62/80,$69.00/6 ounces,Colombia,$69.00 ,6 ounces,69,6,11.5,62,80,
Kenya Washed Kirinyaga Getuya AA Top,96,"Chia-Yi, Taiwan","Kirinyaga District, south-central Kenya",Light,62/80,NT 360/8 ounces,south-central Kenya,NT 360,8 ounces,360,8,45,62,80,
Colombia Finca La Primavera Sidra,96,"Minneapolis, Minnesota","Huila, Colombia",Light,64/82,$48.00/12 ounces,Colombia,$48.00 ,12 ounces,48,12,4,64,82,
Ethiopia Rumadamo Anaerobic Washed,96,"Olympia, Washington","Bensa, Guji Zone, Oromia Region, southern Ethiopia",Light,66/91,$27.50/6 ounces,southern Ethiopia,$27.50 ,6 ounces,27.5,6,4.583333333,66,91,
Ethiopia Djimma Limu Gummay Baby Geisha G1 Washed,96,"Yilan, Taiwan","Jimma Zone, Oromia Region, southern Ethiopia",Light,67/90,NT $600/200 grams,southern Ethiopia,NT $600,200 grams,600,7.054798145,85.0485,67,90,
Baru Gesha,96,"Los Angeles, California","Boquete growing region, western Panama",Medium-Light,55/75,$30.00/250 grams,western Panama,$30.00 ,250 grams,30,8.818497681,3.40194,55,75,
Ecuador Taza Dorada Finca Cruz Loma,96,"Minneapolis, Minnesota","San Jose de Minas, Pichincha, Ecuador",Medium-Light,60/77,$140.00/4 ounces,Ecuador,$140.00 ,4 ounces,140,4,35,60,77,
Ulos Batak Sumatra,96,"Madison, Wisconsin","Northern Sumatra, Indonesia",Medium-Light,54/76,$18.95/12 ounces,Indonesia,$18.95 ,12 ounces,18.95,12,1.579166667,54,76,
Starlight Blend,96,"Minneapolis, Minnesota",Not disclosed.,Medium,54/67,$14.99/16 ounces,Not disclosed.,$14.99 ,16 ounces,14.99,16,0.936875,54,67,
Guatemala Pandora Pacamara Medium-Light Roast,96,"Kaohsiung City, Taiwan","Huehuetenango growing region, northwestern Guatemala.",Medium,52/63,$25.00/8 ounces,northwestern Guatemala.,$25.00 ,8 ounces,25,8,3.125,52,63,
Colombia Granja La Esperanza Geisha,96,"San Rafael, California","Trujillo, Valle del Cauca, Colombia.",Medium,0/0,$32.00/8 ounces,Colombia.,$32.00 ,8 ounces,32,8,4,0,0,
Ethiopia Gesha Village Oma Gesha 1931 Natural,96,"Taipei, Taiwan","Bench-Maji Zone, Southern Ethiopia",Light,59/83,NT $799/100 grams,Southern Ethiopia,NT $799,100 grams,799,3.527399072,226.512505,59,83,
Gelgelu Adame Ethiopia Yirgacheffe Organic Natural Process,96,"Madison, Wisconsin","Yirgacheffe growing region, south-central Ethiopia.",Light,63/81,$19.25/12 ounces,south-central Ethiopia.,$19.25 ,12 ounces,19.25,12,1.604166667,63,81,
Stars of Italy Espresso,96,"Taipei, Taiwan",Not disclosed.,Medium,46/60,NT$600/8 ounces,Not disclosed.,NT$600,8 ounces,600,8,75,46,60,
Kona Geisha Washed,96,"Hilo, Hawaii","Holualoa, North Kona District, “Big Island” of Hawaiʻi",Light,64/86,$100.00/4 ounces,“Big Island” of Hawaiʻi,$100.00 ,4 ounces,100,4,25,64,86,
Sumatra Ulos Batak,96,"La Jolla, California","Northern Sumatra, Indonesia",Medium,53/68,$17.99/12 ounces,Indonesia,$17.99 ,12 ounces,17.99,12,1.499166667,53,68,
Laura’s Reserve SL34,96,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/78,$62.95/8 ounces,“Big Island” of Hawai’i,$62.95 ,8 ounces,62.95,8,7.86875,60,78,
Colombia Lulo Wonka Wonka & Sebastian Gomez,96,"Cleveland, Tennessee",Colombia,Light,64/86,$19.99/8 ounces,Colombia,$19.99 ,8 ounces,19.99,8,2.49875,64,86,
Dodora Double,96,"Lee, Massachusetts","Gedeo Zone, Yirgacheffe growing region, southern EthiopiaGedeo Zone, southern Ethiopia",Light,60/84,$9.94/4 ounces,southern Ethiopia,$9.94 ,4 ounces,9.94,4,2.485,60,84,
Ethiopia Tamiru Tadesse Anaerobic,96,"Big Lake, Alaska","Sidamo (also Sidama) growing region, south-central Ethiopia",Light,62/80,$145.00/4 ounces,south-central Ethiopia,$145.00 ,4 ounces,145,4,36.25,62,80,
Holiday Coffee,96,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,58/80,$49.95/8 ounces,“Big Island” of Hawai’i,$49.95 ,8 ounces,49.95,8,6.24375,58,80,
Ethiopia Sidama Bensa Farmer Tamiru 74158 Natural,96,"New Taipei City, Taiwan","Sidama growing region, southern Ethiopia",Light,64/82,NT $575/4 ounces,southern Ethiopia,NT $575,4 ounces,575,4,143.75,64,82,
Harimau Tiger Sumatra,96,"Madison, Wisconsin","Mandheling growing region, northern Sumatra, Indonesia",Medium-Light,52/70,$17.20/12 ounces,Indonesia,$17.20 ,12 ounces,17.2,12,1.433333333,52,70,
Deri Kochoha Espresso,96,"Madison, Wisconsin","Sidamo (also Sidama) growing region, southern Ethiopia",Medium-Light,56/78,$16.80/12 ounces,southern Ethiopia,$16.80 ,12 ounces,16.8,12,1.4,56,78,
Ethiopia Ayla Bombe,96,"Fort Wayne, Indiana","Sidamo growing region, southern Ethiopia",Medium-Light,61/78,$20.00/12 ounces,southern Ethiopia,$20.00 ,12 ounces,20,12,1.666666667,61,78,
Panama Boquete Flor De Mariposa Geisha Espresso,96,"Chia-Yi, Taiwan","Boquete growing region, western Panama",Medium-Light,54/76,NT $500/8 ounces,western Panama,NT $500,8 ounces,500,8,62.5,54,76,
Laura’s Reserve SL34,96,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/80,$69.95/8 ounces,“Big Island” of Hawai’i,$69.95 ,8 ounces,69.95,8,8.74375,60,80,
El Salvador 2022 COE#17 El Mirador Washed Gesha,96,"Chia-Yi, Taiwan","Apaneca-Ilamatepec, El Salvador",Medium-Light,58/78,NT $500/4 ounces,El Salvador,NT $500,4 ounces,500,4,125,58,78,
Kenya Washed Kiambu AA,96,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium,47/69,NT $290/8 ounces,south-central Kenya,NT $290,8 ounces,290,8,36.25,47,69,
Panama Finca Mi Finquita Geisha Afrodita Natural,96,"Chiya-Yi, Taiwan","Tierras Altas, Chiriquí Province, Panama",Medium-Light,59/81,NT $1250/4 ounces,Panama,NT $1250,4 ounces,1250,4,312.5,59,81,
Ethiopia Yirgacheffe Reko,96,"Sacramento, California","Kochere, Yirgacheffe growing region, southern Ethiopia",Medium-Light,54/76,$19.50/12 ounces,southern Ethiopia,$19.50 ,12 ounces,19.5,12,1.625,54,76,
Ethiopia Nekisse,96,"Sioux Falls, South Dakota","Sidamo growing region, southern Ethiopia.",Medium,50/65,$37.95/12 ounces,southern Ethiopia.,$37.95 ,12 ounces,37.95,12,3.1625,50,65,
Hawai’i Kilauea Volcano Yeast Fermentation Washed,96,"Minneapolis, Minnesota","Puna, Big Island of Hawai’i",Medium-Light,58/76,$29.95/4 ounces,Big Island of Hawai’i,$29.95 ,4 ounces,29.95,4,7.4875,58,76,
Wilton Benitez Orange Bourbon,96,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Light,60/82,$19.00/8 ounces,Colombia,$19.00 ,8 ounces,19,8,2.375,60,82,
Ethiopia Demeka Becha,96,"Floyd, Virginia","Bona Zuria, Sidama Region, Ethiopia",Medium-Light,60/78,$21.99/12 ounces,Ethiopia,$21.99 ,12 ounces,21.99,12,1.8325,60,78,
Hacienda La Esmeralda Montañas 71AS,96,"London, England","Boquete growing region, western Panama",Medium-Light,59/77,£100/150-gram packet,western Panama,£100,150-gram packet,100,5.28,18.93939394,59,77,
Acacia Hills Geisha,96,"Madison, Wisconsin","Karatu, Oldeani Region, Tanzania",Medium-Light,58/80,$24.00/8 ounces,Tanzania,$24.00 ,8 ounces,24,8,3,58,80,
Wilton Benitez Java,96,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Light,59/93,$20.00/8 ounces,Colombia,$20.00 ,8 ounces,20,8,2.5,59,93,
Sumatra Raja Harimau Lintong Espresso,96,"Chia-Yi, Taiwan","Lintong growing region, northern Sumatra, Indonesia",Medium,44/61,NT $275/8 ounces,Indonesia,NT $275,8 ounces,275,8,34.375,44,61,
Panama Hacienda La Esmeralda Special Nano Geisha Gigante Washed Euphora Lot,96,"Taipei, Taiwan","Boquete growing region, western Panama",Light,66/88,$90.00/4 ounces,western Panama,$90.00 ,4 ounces,90,4,22.5,66,88,
Yemen Microlot,96,"Boulder, Colorado",Yemen,Light,58/84,$75.00/8 ounces,Yemen,$75.00 ,8 ounces,75,8,9.375,58,84,
Panama Auromar Geisha Natural Peaberry,96,"Topeka, Kansas","Boquete growing region, western Panama",Medium-Light,53/70,$40.00/8 ounces,western Panama,$40.00 ,8 ounces,40,8,5,53,70,
Kona Mocca®,96,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium,46/64,$44.95/8 ounces,“Big Island” of Hawaii,$44.95 ,8 ounces,44.95,8,5.61875,46,64,
Peru Washed Santa Monica Gesha,96,"Chia-Yi, Taiwan","Amaybamba, Cusco, Peru",Medium-Light,58/77,NT $700/4 ounces,Peru,NT $700,4 ounces,700,4,175,58,77,
Colombia Calderon Honey,96,"Billings, Montana","Huila Department, Colombia",Medium-Light,60/78,$32.25/12 ounces,Colombia,$32.25 ,12 ounces,32.25,12,2.6875,60,78,
Panama Hacienda La Esmeralda Gesha,96,"Chicago, Illinois","Boquete growing region, western Panama",Medium-Light,58/78,$56.00/8 ounces,western Panama,$56.00 ,8 ounces,56,8,7,58,78,
Ethiopia Ninety Plus Kemgin,96,"Yorktown Heights, New York","Nekempte District, Oromia Region, western Ethiopia.",Medium-Light,52/73,$18.00/12 ounces,western Ethiopia.,$18.00 ,12 ounces,18,12,1.5,52,73,
Esmeralda Leon Natural Geisha,96,"La Jolla, California","Cañas Verdes, Boquete growing region, western Panama.",Light,71/89,$45.00/8 ounces,western Panama.,$45.00 ,8 ounces,45,8,5.625,71,89,
Kenya Gachatha AA,96,"Los Angeles, California","Nyeri growing region, south-central Kenya.",Medium-Light,54/76,$24.95/12 ounces,south-central Kenya.,$24.95 ,12 ounces,24.95,12,2.079166667,54,76,
Ethiopia Yirgacheffe ECX,96,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia.",Light,64/83,$15.50/12 ounces,southern Ethiopia.,$15.50 ,12 ounces,15.5,12,1.291666667,64,83,
Berlina Geisha,96,"Lee, Massachusetts","Horqueta, Chiriquí, Boquete, Panama",Medium-Light,56/84,$13.34/4 ounces,Panama,$13.34 ,4 ounces,13.34,4,3.335,56,84,
Kenya Washed Kiambu Windrush AA,96,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium-Light,57/77,NT $340/8 ounces,south-central Kenya,NT $340,8 ounces,340,8,42.5,57,77,
Ecuador COE 1st place Arashi Typica Mejorado Washed,96,"Yilan, Taiwan","Saraguro, Loja, Ecuador",Light,62/80,NT $800/20 grams,Ecuador,NT $800,20 grams,800,0.705479814,1133.98,62,80,
Ethiopia Natural Sidama 74158,96,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,62/80,NT $450/4 ounces,southern Ethiopia,NT $450,4 ounces,450,4,112.5,62,80,
Panama Bambito Estate Geisha Anaerobic Natural,96,"San Diego, California","Volcan Baru, Boquete growing region, Panama",Light,65/90,$45.00/4 ounces,Panama,$45.00 ,4 ounces,45,4,11.25,65,90,
Karen J Kona Red Bourbon,96,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,58/78,$54.95/8 ounces,“Big Island” of Hawai’i,$54.95 ,8 ounces,54.95,8,6.86875,58,78,
Wilton Benitez Java,96,"Madison, Wisconsin","Piendamó, Cauca, Colombia",Medium-Light,60/74,$25.00/8 ounces,Colombia,$25.00 ,8 ounces,25,8,3.125,60,74,
Finca La Mula Panama Geisha,96,"Madison, Wisconsin","Chiriqui, western Panama.",Medium-Light,57/81,$49.25/8 ounces,western Panama.,$49.25 ,8 ounces,49.25,8,6.15625,57,81,
Wilton Benitez Colombia Sidra,96,"Jersey City, New Jersey","Piendamo, Cauca Department, Colombia",Light,65/83,$60.00/250 grams,Colombia,$60.00 ,250 grams,60,8.818497681,6.80388,65,83,
Colombia Valle del Cauca Cerro Azul Geisha AAA,96,"Seattle, Washington","Valle del Cauca growing region, Colombia.",Medium-Light,60/81,$59.75/8 ounces,Colombia.,$59.75 ,8 ounces,59.75,8,7.46875,60,81,
Gachatha Kenya,96,"Madison, Wisconsin","Karundu, Nyeri County, Kenya",Medium-Light,59/77,$24.00/12 ounces,Kenya,$24.00 ,12 ounces,24,12,2,59,77,
Gikanda Kenya,96,"Madison, Wisconsin",South-central Kenya,Medium-Light,55/76,$19.25/12 ounces,South-central Kenya,$19.25 ,12 ounces,19.25,12,1.604166667,55,76,
Kenya Machakos AA Top Washed,96,"Taipei, Taiwan","Machakos County, Kenya",Light,62/82,NT $409/8 ounces,Kenya,NT $409,8 ounces,409,8,51.125,62,82,
Guatemala Washed El Injerto EI05 Mocca,96,"Chia-Yi, Taiwan","La Libertad, Huehuetenango Department, Guatemala",Light,61/81,NT $1200/4 ounces,Guatemala,NT $1200,4 ounces,1200,4,300,61,81,
Kenya Washed Nyeri Hill Farm AA Top,96,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,60/77,NT $390/8 ounces,south-central Kenya,NT $390,8 ounces,390,8,48.75,60,77,
Colombia Wilton Benitez Thermal Shock Geisha,96,"Chicago, Illinois","Piendamo, Cauca Department, Colombia",Medium-Light,60/78,$58.00/8 ounces,Colombia,$58.00 ,8 ounces,58,8,7.25,60,78,
Karimiuki Espresso,96,"Madison, Wisconsin","Kirinyaga, Kenya",Medium-Light,58/76,$21.00/12 ounces,Kenya,$21.00 ,12 ounces,21,12,1.75,58,76,
Sillvia Solkiln N2 Level 95,96,"Pu’Er, Yunnan Province, China","Silla Del Pando, Volcan, Panama.",Medium-Light,59/80,RMB $350/75 grams,Panama.,RMB $350,75 grams,350,2.645549304,132.2976667,59,80,
Panama Esmeralda Geisha,96,"Chicago, Illinois","Boquete growing region, western Panama.",Medium-Light,57/83,$46.00/10 ounces,western Panama.,$46.00 ,10 ounces,46,10,4.6,57,83,
Kahiko,96,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/74,$47.95/8 ounces,“Big Island” of Hawai’i,$47.95 ,8 ounces,47.95,8,5.99375,56,74,
Ethiopia Shantawene Washed,96,"Floyd, Virginia","Sidamo growing region, south-central Ethiopia",Light,64/82,$22.00/12 ounces,south-central Ethiopia,$22.00 ,12 ounces,22,12,1.833333333,64,82,
Ethiopia Worka Sakaro Anaerobic Natural,96,"Floyd, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,60/78,$23.00/12 ounces,southern Ethiopia,$23.00 ,12 ounces,23,12,1.916666667,60,78,
Panama Auromar Geisha Natural,96,"Branford, Connecticut","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,56/80,$55.00/12 ounces,far western Panama,$55.00 ,12 ounces,55,12,4.583333333,56,80,
Kenya Nyeri AB Nyeshun,96,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,58/78,NT $400/8 ounces,south-central Kenya,NT $400,8 ounces,400,8,50,58,78,
