coffee_name,total_score,roaster_location,coffee_origin,roast_level,agtron,est._price,country,prices_raw,ounces_raw,price,ounces,price_per_ounces,agtron_whole,agtron_ground,Price Vs Score
Ethiopia Sidama Anaerobic,94,"Minneapolis, Minnesota","Sidama (also Sidamo) region, Ethiopia",Medium-Light,58/78,$19.75/12 ounces,Ethiopia,$19.75 ,12 ounces,19.75,12,1.645833333,58,78,
Dadaocheng Garden Blend Espresso,94,"Yilan, Taiwan",Ethiopia; Guatemala,Medium,52/68,NT $350/200 grams,Ethiopia; Guatemala,NT $350,200 grams,350,7.054798145,49.611625,52,68,
Ethiopia Natural Yirgacheffe Banko Gotiti,94,"Chia-Yi, Taiwan","Kochere Woreda, Yirgacheffe growing region, south-central Ethiopia",Medium-Light,52/70,NT $325/8 ounces,south-central Ethiopia,NT $325,8 ounces,325,8,40.625,52,70,
Ethiopia Limu Nano Challa Lot #10,94,"Youngstown, Ohio","Jimma Zone, Oromia State, Ethiopia",Medium-Light,54/74,$16.25/10 ounces,Ethiopia,$16.25 ,10 ounces,16.25,10,1.625,54,74,
Kenya Kiambu AB Uklili 1905 Lot,94,"Chia-Yi, Taiwan","iambu growing region, south-central Kenya",Medium-Light,58/76,NT $300/8 ounces,south-central Kenya,NT $300,8 ounces,300,8,37.5,58,76,
Ethiopia Kayon Mountain Natural,94,"Lexington, Virginia","Odo Shakiso District, Guji Zone, Oromia region, southern Ethiopia",Medium,50/70,$21.00/12 ounces,southern Ethiopia,$21.00 ,12 ounces,21,12,1.75,50,70,
La Belleza Colombia,94,"Madison, Wisconsin","San Augustin, Huila, Colombia",Medium-Light,57/79,$19.50/12 ounces,Colombia,$19.50 ,12 ounces,19.5,12,1.625,57,79,
SOB Espresso,94,"Silver Lake, Minnesota",Colombia,Medium,46/68,$18.95/12 ounces,Colombia,$18.95 ,12 ounces,18.95,12,1.579166667,46,68,
Espresso Mandarina,94,"Santa Rosa Beach, Florida",Congo; Ethiopia,Medium,46/68,$16.95/12 ounces,Congo; Ethiopia,$16.95 ,12 ounces,16.95,12,1.4125,46,68,
The Core Espresso,94,"Emeryville, California",Ethiopia; Guatemala; Papua New Guinea; Sumatra,Medium,45/67,$17.25/12 ounces,Ethiopia; Guatemala; Papua New Guinea; Sumatra,$17.25 ,12 ounces,17.25,12,1.4375,45,67,
Barichu Double,94,"Lee, Massachusetts","Nyeri growing region, south-central Kenya",Medium-Light,53/75,$13.34/4 ounces,south-central Kenya,$13.34 ,4 ounces,13.34,4,3.335,53,75,
Green-Tip Geisha,94,"San Juan Lachao, Oaxaca, Mexico","Oaxaca State, Mexico",Medium-Light,56/78,$35.00/8 ounces,Mexico,$35.00 ,8 ounces,35,8,4.375,56,78,
Kenya Handege,94,"Austin, Texas","Thika growing region, central Kenya",Medium,53/65,$19.00/12 ounces,central Kenya,$19.00 ,12 ounces,19,12,1.583333333,53,65,
Kenya Kimaruri,94,"Santa Monica, California","Nyeri growing region, south-central Kenya",Medium-Light,54/72,$23.00/12 ounces,south-central Kenya,$23.00 ,12 ounces,23,12,1.916666667,54,72,
Geisha Village Auction Lot #11,94,"Madison, Wisconsin","Bench-Maji Zone, southern Ethiopia",Medium-Light,52/75,$25.75/4 ounces,southern Ethiopia,$25.75 ,4 ounces,25.75,4,6.4375,52,75,
Ethiopia Natural Yirgacheffe Blue Donkey Lot,94,"Chia-Yi, Taiwan","Kochere, Yirgacheffe growing region, south-central Ethiopia",Medium-Light,57/75,NT $300/8 ounces,south-central Ethiopia,NT $300,8 ounces,300,8,37.5,57,75,
Panama Geisha Alto Jaramillo,94,"Santa Monica, California","Alto Jaramillo, Boquete growing region, western Panama",Medium-Light,53/71,$40.00/4 ounces,western Panama,$40.00 ,4 ounces,40,4,10,53,71,
El Salvador,94,"Hong Kong, China","Tecapa Chinameca growing region, southeastern El Salvador",Medium,47/59,$19.65/8 ounces,southeastern El Salvador,$19.65 ,8 ounces,19.65,8,2.45625,47,59,
Ethiopia Washed Yirgacheffe Nafasha Lot,94,"Chia-Yi, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium-Light,55/77,NT $275/8 ounces,southern Ethiopia,NT $275,8 ounces,275,8,34.375,55,77,
Ethiopia Guji Shakisso Natural Lot 24,94,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,53/71,NT $260/8 ounces,southern Ethiopia,NT $260,8 ounces,260,8,32.5,53,71,
Yirgacheffe Gedeb G1 Natural,94,"New Taipei City, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Light,62/83,NT $350/8 ounces,southern Ethiopia,NT $350,8 ounces,350,8,43.75,62,83,
Panama Finca San Sebastian,94,"Thermopolis, Wyoming","Boquete growing region, western Panama",Medium-Light,53/71,$12.00/12 ounces,western Panama,$12.00 ,12 ounces,12,12,1,53,71,
